slnoskm17mar11,permanentid,y1pccust,inf1pcma,sector,year,ld1pcla,st1pcdev,cs1pccmk,hr3pcsat,pm1pcvc,iirtotal,icat7total
1,B-179,68.11,71.67,1,1990,76.25,80,80,80,66.32,686,204
2,,28.11,23.33,1,1990,10,22.86,40,0,22.11,147,46
3,,74.59,73.33,1,1990,73.75,80,80,60,72.63,704,243
4,,18.92,15,1,1990,11.25,17.14,26,0,24.21,124,29
5,,62.7,55,1,1990,86.25,45.71,70,70,66.32,612,184
6,B-053,52.43,31.67,1,1990,21.25,68.57,66,0,40,284,86
7,B-045,17.84,23.33,1,1990,18.75,34.29,40,0,28.42,140,36
8,,60.54,60,1,1990,72.5,80,66,50,64.21,609,196
9,,44.32,35,1,1990,22.5,68.57,60,0,31.58,253,73
10,,52.43,26.67,1,1990,26.25,57.14,66,0,35.79,269,84
11,,38.92,35,1,1990,30,62.86,66,0,41.05,277,76
12,,64.86,71.67,1,1990,68.75,57.14,56,60,73.68,616,185
13,B-011,55.68,66.67,1,1990,67.5,91.43,70,80,71.58,660,208
14,,45.41,46.67,1,1990,21.25,74.29,40,0,42.11,279,60
15,,25.95,23.33,1,1990,22.5,57.14,20,0,24.21,171,38
16,B-123,53.51,20,1,1990,17.5,51.43,60,0,32.63,263,75
17,B-080,51.35,41.67,1,1990,26.25,68.57,70,0,33.68,286,83
18,B-018,65.41,65,1,1990,76.25,68.57,70,70,69.47,664,199
19,,41.62,43.33,1,1990,22.5,68.57,50,0,41.05,267,63
20,,27.03,26.67,1,1990,15,57.14,36,0,16.84,170,46
21,,55.14,43.33,1,1990,28.75,80,70,0,36.84,322,93
22,,27.03,30,1,1990,15,45.71,56,0,32.63,190,56
23,,47.03,30,1,1990,18.75,57.14,56,0,31.58,260,76
24,B-101,31.35,35,1,1990,22.5,51.43,46,0,30.53,213,59
25,B-178,25.95,23.33,1,1990,15,40,36,0,29.47,163,46
26,,77.3,91.67,1,1990,86.25,102.86,90,90,80,811,227
27,,45.95,35,1,1990,21.25,51.43,76,0,36.84,252,91
28,B-061,25.95,18.33,1,1990,7.5,22.86,30,0,16.84,127,41
29,,23.24,26.67,1,1990,26.25,62.86,70,0,37.89,235,53
30,B-160,18.92,23.33,1,1990,21.25,40,50,0,33.68,185,43
31,,66.49,60,1,1990,66.25,80,70,60,62.11,641,193
32,,76.76,88.33,1,1990,76.25,102.86,90,70,81.05,792,247
33,B-005,17.84,30,1,1990,17.5,28.57,30,0,24.21,152,38
34,,73.51,73.33,1,1990,76.25,80,70,70,74.74,711,227
35,B-200,62.16,71.67,1,1990,67.5,80,70,70,71.58,635,195
36,B-166,53.51,80,1,1990,73.75,68.57,66,80,56.84,645,206
37,,55.14,23.33,1,1990,18.75,80,40,0,34.74,257,78
38,B-163,70.27,73.33,1,1990,77.5,68.57,80,30,66.32,659,228
39,,78.92,75,1,1990,72.5,91.43,80,50,58.95,686,214
40,B-159,54.59,31.67,1,1990,25,68.57,56,0,32.63,273,91
41,,30.27,35,1,1990,18.75,51.43,36,0,25.26,201,49
42,,7.57,30,1,1990,21.25,40,20,0,14.74,127,15
43,,58.92,38.33,1,1990,28.75,80,60,0,35.79,311,88
44,,62.16,41.67,1,1990,25,80,70,0,38.95,325,108
45,B-052,1.62,6.67,1,1990,15,11.43,10,0,12.63,58,8
46,,40,26.67,2,1990,11.25,40,40,0,21.05,189,60
47,B-038,12.97,11.67,2,1990,7.5,22.86,20,0,26.32,88,15
48,,35.14,23.33,2,1990,18.75,51.43,46,0,29.47,213,61
49,,33.51,23.33,2,1990,15,34.29,50,0,32.63,195,60
50,,73.51,71.67,2,1990,72.5,68.57,80,80,55.79,664,228
51,B-085,52.97,58.33,2,1990,72.5,68.57,70,40,62.11,566,166
52,B-138,58.38,30,2,1990,26.25,68.57,70,0,37.89,300,90
53,,71.89,75,2,1990,78.75,74.29,76,80,73.68,706,240
54,,61.62,23.33,2,1990,18.75,34.29,50,0,31.58,245,83
55,,65.41,60,2,1990,60,68.57,70,70,56.84,608,209
56,,54.59,71.67,2,1990,70,80,70,60,76.84,605,169
57,,44.32,23.33,2,1990,15,34.29,40,0,27.37,198,71
58,B-113,7.57,18.33,2,1990,3.75,22.86,30,0,14.74,81,25
59,B-094,62.7,75,2,1990,76.25,68.57,70,70,66.32,661,205
60,,45.95,38.33,2,1990,18.75,62.86,50,0,27.37,246,63
61,B-031,23.24,20,2,1990,11.25,28.57,56,0,23.16,157,59
62,B-023,51.35,23.33,2,1990,17.5,34.29,66,0,25.26,235,81
63,,10.27,18.33,2,1990,17.5,51.43,40,0,27.37,145,30
64,B-144,36.76,43.33,3,1990,28.75,62.86,56,0,38.95,249,71
65,,23.24,20,3,1990,15,28.57,30,0,17.89,140,33
66,,18.92,11.67,3,1990,13.75,28.57,46,0,18.95,147,46
67,,18.38,23.33,3,1990,15,34.29,30,0,21.05,131,30
68,,27.57,30,3,1990,30,57.14,30,0,31.58,205,40
69,,37.84,30,3,1990,15,45.71,56,0,35.79,214,59
70,,34.05,43.33,3,1990,26.25,62.86,56,0,33.68,239,61
71,,54.05,30,3,1990,22.5,57.14,56,0,30.53,271,79
72,,55.68,66.67,3,1990,81.25,68.57,60,50,70.53,619,215
73,,38.38,30,3,1990,18.75,45.71,40,0,41.05,225,55
74,,40.54,30,3,1990,25,40,46,0,28.42,230,74
75,,0,6.67,3,1990,15,17.14,26,0,7.37,56,13
76,B-092,36.22,23.33,3,1990,21.25,45.71,46,0,32.63,205,59
77,,48.11,60,3,1990,70,57.14,50,45,58.95,557,173
78,,42.7,23.33,3,1990,22.5,51.43,66,0,33.68,235,83
79,B-014,30.81,20,3,1990,13.75,45.71,36,0,30.53,191,48
80,,46.49,46.67,3,1990,28.75,80,40,0,42.11,257,63
81,,63.24,70,3,1990,86.25,91.43,76,75,57.89,716,212
82,B-157,31.35,18.33,3,1990,11.25,34.29,30,0,22.11,155,53
83,,45.95,20,3,1990,15,34.29,56,0,35.79,241,73
84,B-184,61.08,51.67,3,1990,67.5,68.57,70,40,51.58,550,187
85,,9.73,20,3,1990,10,34.29,26,0,20,106,21
86,,7.57,18.33,3,1990,13.75,28.57,26,0,11.58,86,18
87,B-169,34.59,15,3,1990,21.25,28.57,30,0,10.53,145,55
88,B-071,56.22,66.67,3,1990,65,68.57,60,70,60,619,211
89,,45.41,35,3,1990,28.75,80,56,0,36.84,269,73
90,B-155,42.16,20,3,1990,18.75,45.71,46,0,23.16,197,84
91,,17.3,23.33,3,1990,17.5,28.57,30,0,17.89,144,33
92,,26.49,30,3,1990,25,57.14,60,0,29.47,196,60
93,B-051,38.38,30,3,1990,26.25,68.57,36,0,35.79,233,58
94,B-030,41.62,35,3,1990,22.5,45.71,56,0,23.16,238,76
95,,28.65,30,3,1990,26.25,45.71,30,0,16.84,186,53
96,,61.08,30,3,1990,22.5,57.14,40,0,40,289,90
97,,48.26,52.86,1,1991,56.25,60,56.67,44,62.22,509,152
98,,43.04,42.86,1,1991,50,51.43,46.67,40,47.78,410,134
99,,33.91,52.86,1,1991,60,60,56.67,60,60,464,115
100,,73.91,72.86,1,1991,73.75,74.29,76.67,76,73.33,734,225
101,B-052,30.87,24.29,1,1991,20,25.71,40,52,35.56,280,103
102,B-020,53.91,60,1,1991,71.25,80,70,60,73.33,633,180
103,B-178,32.17,42.86,1,1991,55,34.29,36.67,40,42.22,376,105
104,,57.83,42.86,1,1991,47.5,54.29,66.67,32,76.67,530,184
105,B-179,67.83,74.29,1,1991,75,71.43,70,72,70,693,191
106,,70.87,72.86,1,1991,71.25,80,80,72,73.33,706,200
107,B-080,71.3,68.57,1,1991,76.25,71.43,70,72,72.22,696,221
108,B-089,75.65,47.14,1,1991,71.25,60,70,80,73.33,681,199
109,B-073,52.17,57.14,1,1991,61.25,60,66.67,40,57.78,552,177
110,B-011,60,51.43,1,1991,72.5,60,70,72,70,626,195
111,,30.87,21.43,1,1991,32.5,11.43,40,20,36.67,289,94
112,,23.91,18.57,1,1991,16.25,0,20,20,15.56,160,78
113,B-166,46.96,45.71,1,1991,52.5,45.71,46.67,52,53.33,474,144
114,B-005,60.43,68.57,1,1991,70,54.29,60,52,63.33,603,189
115,B-160,18.7,20,1,1991,36.25,20,56.67,36,36.67,272,86
116,B-123,40.87,41.43,1,1991,40,40,40,20,55.56,389,108
117,B-142,47.83,48.57,1,1991,50,40,60,36,48.89,446,167
118,B-200,75.65,65.71,1,1991,76.25,71.43,80,60,66.67,686,217
119,,73.04,71.43,1,1991,71.25,74.29,70,72,75.56,681,209
120,,49.13,45.71,1,1991,45,51.43,56.67,56,51.11,494,179
121,B-176,49.57,52.86,1,1991,42.5,34.29,66.67,40,46.67,483,155
122,B-022,36.96,20,1,1991,36.25,20,36.67,24,45.56,311,132
123,B-018,53.91,61.43,1,1991,66.25,60,66.67,52,57.78,596,179
124,,51.74,58.57,1,1991,48.75,74.29,70,36,63.33,541,166
125,B-066,33.91,44.29,1,1991,43.75,34.29,16.67,44,46.67,355,86
126,,56.09,58.57,1,1991,66.25,60,66.67,52,65.56,587,194
127,B-112,50.43,50,1,1991,46.25,51.43,60,52,51.11,476,159
128,B-159,36.96,51.43,1,1991,66.25,51.43,56.67,32,60,452,126
129,,46.09,42.86,1,1991,53.75,51.43,56.67,52,52.22,485,127
130,B-061,39.57,20,1,1991,38.75,31.43,30,40,42.22,339,101
131,B-161,31.3,30,1,1991,38.75,34.29,50,44,50,345,113
132,,43.48,14.29,1,1991,17.5,20,30,12,23.33,248,131
133,B-163,63.04,72.86,1,1991,73.75,71.43,80,52,62.22,613,197
134,B-148,66.96,57.14,2,1991,73.75,51.43,70,60,55.56,620,202
135,B-041,58.7,57.14,2,1991,58.75,51.43,60,64,58.89,577,179
136,,76.96,67.14,2,1991,77.5,80,86.67,64,75.56,723,242
137,,23.48,12.86,2,1991,40,25.71,26.67,32,46.67,244,80
138,,76.96,67.14,2,1991,65,60,70,60,60,654,212
139,B-031,21.3,34.29,2,1991,46.25,31.43,36.67,24,43.33,330,87
140,,70,62.86,2,1991,76.25,60,60,60,46.67,620,198
141,,33.91,18.57,2,1991,43.75,25.71,70,24,30,331,130
142,,56.09,44.29,2,1991,58.75,60,66.67,40,55.56,544,183
143,B-102,17.83,30,2,1991,36.25,40,36.67,24,31.11,278,97
144,,23.48,17.14,2,1991,31.25,25.71,30,20,30,259,101
145,,26.09,40,2,1991,28.75,5.71,30,36,32.22,248,75
